"","x"
"codex_1",15093
"codex_2",9828
"codex_3",6836
"codex_4",6193
"codex_5",7120
"codex_6",962
"codex_7",4553
"codex_8",3153
"codex_9",9973
"codex_10",12860
"codex_11",7296
"codex_12",8093
"codex_13",4434
"codex_14",7030
"codex_15",4172
"codex_16",23713
"codex_17",13852
"codex_18",7706
"codex_19",3529
"codex_20",11065
"codex_21",10131
"codex_22",10299
"codex_23",11433
"codex_24",5696
"codex_25",2660
"codex_26",10611
"codex_27",8077
"codex_28",10793
"codex_29",10855
"codex_30",11590
"codex_31",2706
"codex_32",7993
"codex_33",11391
"codex_34",1330
"codex_35",9684
"codex_36",1098
"codex_37",14373
"codex_38",13106
"codex_39",13148
"codex_40",17216
"codex_41",1423
"codex_42",10420
"codex_43",7299
"codex_44",12941
"codex_45",4275
"codex_46",2072
"codex_47",8553
"codex_48",5860
"codex_49",10818
"codex_50",6937
"codex_51",11571
"codex_52",17146
"codex_53",11324
"codex_54",11701
"codex_55",10567
"codex_56",586
"codex_57",9830
"codex_58",13444
"codex_59",12607
"codex_60",12417
"codex_61",8980
"codex_62",4039
"codex_63",22592
"codex_64",5776
"codex_65",16931
"codex_66",3165
"codex_67",13262
"codex_68",3035
"codex_69",5563
"codex_70",451
"codex_71",6751
"codex_72",2059
"codex_73",22910
"codex_74",7204
"codex_75",4869
"codex_76",10822
"codex_77",13131
"codex_78",11734
"codex_79",12432
"codex_80",11933
"codex_81",8088
"codex_82",10467
"codex_83",13368
"codex_84",6121
"codex_85",1912
"codex_86",11377
"codex_87",10755
"codex_88",3204
"codex_89",13784
"codex_90",4265
"codex_91",2603
"codex_92",10164
"codex_93",7052
"codex_94",10864
"codex_95",5575
"codex_96",2953
"codex_97",12584
"codex_98",11685
"codex_99",19906
"codex_100",252
"codex_101",10877
"codex_102",14311
"codex_103",1925
"codex_104",10080
"codex_105",4202
"codex_106",10344
"codex_107",5775
"codex_108",9528
"codex_109",1989
"codex_110",8884
"codex_111",5759
"codex_112",13306
"codex_113",8834
"codex_114",16497
"codex_115",8276
"codex_116",11226
"codex_117",18949
"codex_118",10989
"codex_119",6334
"codex_120",11540
"codex_121",18377
"codex_122",13994
"codex_123",7753
"codex_124",4235
"codex_125",2921
"codex_126",12529
"codex_127",12008
"codex_128",12343
"codex_129",8012
"codex_130",4312
"codex_131",8437
"codex_132",4491
"codex_133",16077
"codex_134",10832
"codex_135",11538
"codex_136",6945
"codex_137",8391
"codex_138",5640
"codex_139",9402
"codex_140",6842
"codex_141",14833
"codex_142",15796
"codex_143",3113
"codex_144",14769
"codex_145",5321
"codex_146",6188
"codex_147",4078
"codex_148",11663
"codex_149",11579
"codex_150",13157
"codex_151",12047
"codex_152",7733
"codex_153",10111
"codex_154",16933
"codex_155",9755
"codex_156",3811
"codex_157",9069
"codex_158",15734
"codex_159",12432
"codex_160",8018
"codex_161",15215
"codex_162",9729
"codex_163",3901
"codex_164",17321
"codex_165",10693
"codex_166",14595
"codex_167",2077
"codex_168",2496
"codex_169",10530
"codex_170",12888
"codex_171",10734
"codex_172",4983
"codex_173",11015
"codex_174",4335
"codex_175",10191
"codex_176",3978
"codex_177",9232
"codex_178",4966
"codex_179",17101
"codex_180",9250
"codex_181",13147
"codex_182",2225
"codex_183",4874
"codex_184",3656
"codex_185",4771
"codex_186",1793
"codex_187",11851
"codex_188",6252
"codex_189",16114
"codex_190",7707
"codex_191",10153
"codex_192",8191
"codex_193",13553
"codex_194",20352
"codex_195",11955
"codex_196",13386
"codex_197",8237
"codex_198",15447
"codex_199",12291
"codex_200",9064
"codex_201",2082
"codex_202",7615
"codex_203",10335
"codex_204",10182
"codex_205",7335
"codex_206",6244
"codex_207",7089
"codex_208",7483
"codex_209",12312
"codex_210",9371
"codex_211",14157
"codex_212",9949
"codex_213",4955
"codex_214",11398
"codex_215",4574
"codex_216",6041
"codex_217",8190
"codex_218",6523
"codex_219",11791
"codex_220",9164
"codex_221",5552
"codex_222",4636
"codex_223",5412
"codex_224",3161
"codex_225",11888
"codex_226",1000
"codex_227",8583
"codex_228",348
"codex_229",10447
"codex_230",6572
"codex_231",9505
"codex_232",12487
"codex_233",12194
"codex_234",1048
"codex_235",15034
"codex_236",10949
"codex_237",6153
"codex_238",6180
"codex_239",1610
"codex_240",1946
"codex_241",13153
"codex_242",9603
"codex_243",2910
"codex_244",2581
"codex_245",9098
"codex_246",9390
"codex_247",25869
"codex_248",2809
"codex_249",6684
"codex_250",2919
"codex_251",11392
"codex_252",8885
"codex_253",7444
"codex_254",10907
"codex_255",12740
"codex_256",14248
"codex_257",8671
"codex_258",4477
"codex_259",9166
"codex_260",6012
"codex_261",9838
"codex_262",9450
"codex_263",4047
"codex_264",11639
"codex_265",14375
"codex_266",9612
"codex_267",3794
"codex_268",811
"codex_269",9200
"codex_270",13281
"codex_271",6623
"codex_272",3542
"codex_273",10708
"codex_274",13949
"codex_275",6417
"codex_276",6411
"codex_277",3587
"codex_278",378
"codex_279",11282
"codex_280",2540
"codex_281",12459
"codex_282",11798
"codex_283",14423
"codex_284",4278
"codex_285",8880
"codex_286",14287
"codex_287",5560
"codex_288",20587
"codex_289",11108
"codex_290",10764
"codex_291",1897
"codex_292",9405
"codex_293",5049
"codex_294",7803
"codex_295",10369
"codex_296",6456
"codex_297",10741
"codex_298",851
"codex_299",12798
"codex_300",8053
"codex_301",5507
"codex_302",7227
"codex_303",12882
"codex_304",825
"codex_305",1993
"codex_306",16824
"codex_307",12991
"codex_308",8530
"codex_309",1596
"codex_310",8104
"codex_311",8321
"codex_312",3351
"codex_313",13479
"codex_314",12840
"codex_315",10064
"codex_316",11230
"codex_317",10496
"codex_318",8747
"codex_319",5501
"codex_320",8011
"codex_321",8938
"codex_322",4572
"codex_323",11601
"codex_324",7552
"codex_325",6928
"codex_326",2600
"codex_327",14478
"codex_328",7874
"codex_329",10026
"codex_330",8335
"codex_331",1774
"codex_332",15698
"codex_333",14524
"codex_334",11981
"codex_335",10079
"codex_336",2081
"codex_337",9439
"codex_338",8826
"codex_339",5429
"codex_340",973
"codex_341",6765
"codex_342",8091
